Veiculo,flights,plan_investimento,plan_impressoes,plan_cliques,dias_entregues,real_investimento,real_impressoes,real_cliques,pacing_investimento,pacing_impressoes,pacing_cliques
Meta Ads,30,825982.09375,114079300,545397,526,883743.03,154013167,263630,1.0699300102109508,1.350053576766337,0.48337266248255856
Tiktok Ads,4,99049.830078125,11615188,58596,57,47290.25,2820828,7505,0.4774389815984548,0.24285685259678966,0.12808041504539558
Youtube Ads,11,108593.16015625,11428595,22773,301,116301.2006,10597471,26140,1.0709809018602943,0.9272767999916001,1.1478505247442146
